iter	Passed	Remaining
0	506	506420
1	808	403357
2	1216	404383
3	1517	377955
4	1814	361096
5	2124	352011
6	2424	343989
7	2714	336573
8	3029	333624
9	3280	324755
10	3600	323724
11	3882	319636
12	4184	317720
13	4474	315159
14	4771	313320
15	5063	311419
16	5318	307543
17	5638	307620
18	5928	306075
19	6280	307755
20	6526	304267
21	6797	302194
22	7089	301166
23	7368	299650
24	7679	299512
25	8022	300529
26	8441	304219
27	8786	305018
28	9082	304114
29	9367	302879
30	9723	303948
31	10014	302926
32	10321	302448
33	10756	305607
34	11140	307172
35	11453	306686
36	11777	306536
37	12095	306206
38	12396	305471
39	12688	304521
40	12979	303592
41	13303	303447
42	13609	302899
43	13890	301803
44	14178	300896
45	14463	299957
46	14788	299869
47	15045	298406
48	15367	298252
49	15660	297547
50	15966	297109
51	16290	296988
52	16695	298305
53	17029	298332
54	17363	298331
55	17738	299026
56	18026	298235
57	18367	298318
58	18718	298545
59	19024	298049
60	19341	297731
61	19646	297226
62	19963	296916
63	20271	296465
64	20558	295723
65	20877	295455
66	21233	295687
67	21548	295344
68	21821	294435
69	22107	293717
70	22437	293577
71	22758	293333
72	23062	292858
73	23397	292785
74	23703	292348
75	23982	291581
76	24307	291370
77	24613	290941
78	24921	290541
79	25248	290359
80	25549	289872
81	25948	290499
82	26278	290326
83	26611	290194
84	26927	289870
85	27231	289417
86	27537	288988
87	27900	289154
88	28214	288804
89	28527	288447
90	28812	287810
91	29097	287181
92	29405	286778
93	29692	286186
94	30007	285857
95	30288	285219
96	30603	284899
97	30891	284330
98	31160	283587
99	31466	283197
100	31746	282575
101	32036	282046
102	32310	281383
103	32699	281717
104	32999	281281
105	33279	280674
106	33588	280326
107	33870	279746
108	34176	279373
109	34556	279595
110	34842	279056
111	35134	278563
112	35428	278095
113	35740	277773
114	36004	277080
115	36310	276714
116	36649	276597
117	36932	276056
118	37223	275580
119	37517	275130
120	37808	274656
121	38116	274312
122	38402	273813
123	38735	273645
124	39032	273226
125	39334	272845
126	39646	272527
127	39941	272098
128	40267	271880
129	40691	272322
130	40985	271879
131	41289	271509
132	41603	271202
133	41917	270902
134	42255	270746
135	42583	270532
136	42929	270422
137	43221	269975
138	43518	269564
139	43831	269249
140	44136	268890
141	44427	268443
142	44718	268000
143	44990	267442
144	45295	267087
145	45639	266962
146	46009	266979
147	46305	266567
148	46609	266203
149	46923	265900
150	47208	265430
151	47507	265041
152	47883	265082
153	48172	264636
154	48457	264169
155	48748	263741
156	49046	263349
157	49358	263035
158	49643	262578
159	49964	262315
160	50237	261797
161	50505	261257
162	50765	260677
163	51037	260164
164	51313	259678
165	51611	259300
166	51923	258997
167	52203	258530
168	52487	258090
169	52762	257605
170	53059	257230
171	53355	256853
172	53661	256521
173	54007	256381
174	54296	255968
175	54587	255570
176	54876	255159
177	55177	254809
178	55554	254807
179	55853	254443
180	56193	254268
181	56475	253829
182	56790	253539
183	57116	253299
184	57413	252931
185	57704	252536
186	57980	252075
187	58283	251735
188	58559	251279
189	58870	250975
190	59213	250804
191	59492	250364
192	59792	250012
193	60065	249552
194	60369	249217
195	60656	248814
196	60966	248506
197	61266	248161
198	61587	247899
199	61891	247564
200	62180	247173
201	62484	246845
202	62776	246469
203	63122	246302
204	63467	246131
205	63768	245786
206	64039	245331
207	64360	245064
208	64649	244678
209	64944	244314
210	65218	243874
211	65552	243656
212	65841	243275
213	66127	242881
214	66442	242593
215	66730	242206
216	67029	241863
217	67316	241475
218	67626	241169
219	67913	240785
220	68223	240480
221	68546	240221
222	68823	239803
223	69127	239479
224	69405	239062
225	69704	238722
226	69991	238342
227	70379	238303
228	70692	238008
229	70973	237605
230	71275	237277
231	71572	236930
232	71936	236805
233	72242	236486
234	72523	236086
235	72848	235830
236	73128	235431
237	73456	235184
238	73767	234883
239	74046	234479
240	74357	234179
241	74617	233719
242	74927	233415
243	75207	233019
244	75506	232682
245	75793	232311
246	76106	232016
247	76433	231767
248	76760	231514
249	77103	231311
250	77391	230941
251	77715	230680
252	78042	230426
253	78316	230016
254	78620	229693
255	78907	229325
256	79198	228966
257	79488	228606
258	79792	228287
259	80101	227981
260	80384	227603
261	80689	227286
262	80977	226920
263	81298	226649
