iter	Logloss	Accuracy
0	0.6107054517	0.7442738485
1	0.5654930444	0.7457945297
2	0.5365896701	0.7459203792
3	0.5221620883	0.7469271751
4	0.5109999373	0.7486785804
5	0.5045850753	0.748668093
6	0.4983319444	0.7484688313
7	0.4936656866	0.755233241
8	0.4901575429	0.7551493414
9	0.4859405267	0.7556632268
10	0.4843037395	0.7579285175
11	0.4810459376	0.7586731269
12	0.4791650377	0.7583689907
13	0.4777644708	0.7591136001
14	0.4765891854	0.7599421092
15	0.4752800173	0.7604455072
16	0.4744317878	0.7607706183
17	0.4734237379	0.7614208407
18	0.4719769821	0.7608964678
19	0.4715230361	0.7621549627
20	0.470282611	0.7624695864
21	0.4693630395	0.7627003104
22	0.4684101238	0.7629520094
23	0.4676167919	0.7633715077
24	0.4667831437	0.7642524541
25	0.4661036735	0.7637071063
26	0.4654896024	0.7654060743
27	0.4650858376	0.7650704757
28	0.4644727332	0.7653116872
29	0.4639667998	0.765857035
30	0.4632133489	0.7662136085
31	0.4627308611	0.7666121319
32	0.4621702019	0.7675874654
33	0.4616019195	0.767188942
34	0.4608844767	0.7677867271
35	0.4603587038	0.7680803759
36	0.4597867629	0.7680279386
37	0.4595307122	0.7683320748
38	0.4586954803	0.7684788992
39	0.4583657067	0.768038426
40	0.4579773042	0.7681852504
41	0.4576546219	0.7681642755
42	0.4571999746	0.7688983975
43	0.4568894384	0.7694017955
44	0.4566099516	0.7696010571
45	0.4558848215	0.7707546774
46	0.4555544291	0.7699366558
47	0.4552115702	0.7701568924
48	0.4548025706	0.7709119893
49	0.4544113219	0.7716880611
50	0.4539951187	0.7717929356
51	0.4536879723	0.7718558604
52	0.4530161108	0.7719502475
53	0.452756757	0.7719292726
54	0.4523712849	0.7722438963
55	0.4518571587	0.7725690075
56	0.4515703085	0.7724641329
57	0.4512948832	0.7724221831
58	0.4506629223	0.772810219
59	0.4502498211	0.7729150935
60	0.4497025206	0.7744986996
61	0.4492886813	0.774393825
62	0.4488284428	0.7748972229
63	0.4482255253	0.7748972229
64	0.4480161058	0.7748867355
65	0.4475708291	0.7756732947
66	0.4471672252	0.7757781693
67	0.4468350839	0.7757152446
68	0.4462945732	0.7761976676
69	0.4459241902	0.7763654669
70	0.4455394629	0.7768478899
71	0.4452634881	0.7771205638
72	0.4449265409	0.7775400621
73	0.444731507	0.7773932377
74	0.4444278743	0.7774037251
75	0.4441502917	0.7774666499
76	0.4436755964	0.777445675
77	0.4433702841	0.7777812736
78	0.4430397724	0.7778441983
79	0.4424694073	0.7780015102
80	0.441948929	0.7789558688
81	0.4417230966	0.7791551305
82	0.4412273765	0.7796899908
83	0.4408810692	0.7798577901
84	0.4405455867	0.7803402131
85	0.4401634548	0.7808855609
86	0.4398736496	0.7809484856
87	0.4393805898	0.7812001846
88	0.4389087396	0.7819867439
