iter	Passed	Remaining
0	66	66735
1	127	63762
2	179	59574
3	235	58545
4	303	60308
5	368	61002
6	421	59829
7	494	61348
8	518	57050
9	555	55010
10	596	53648
11	636	52422
12	677	51429
13	726	51158
14	768	50435
15	811	49898
16	857	49591
17	900	49135
18	944	48783
19	1004	49203
20	1089	50781
21	1176	52289
22	1241	52719
23	1295	52696
24	1343	52411
25	1387	51992
26	1429	51501
27	1492	51797
28	1557	52163
29	1615	52241
30	1664	52044
31	1703	51520
32	1749	51277
33	1792	50934
34	1841	50778
35	1888	50560
36	1944	50605
37	1996	50532
38	2042	50326
39	2089	50157
40	2131	49850
41	2171	49520
42	2225	49541
43	2272	49385
44	2312	49067
45	2361	48984
46	2408	48841
47	2456	48717
48	2501	48546
49	2561	48660
50	2616	48690
51	2666	48610
52	2714	48503
53	2759	48347
54	2809	48271
55	2863	48275
56	2911	48163
57	2957	48029
58	3006	47948
59	3075	48176
60	3126	48130
61	3171	47988
62	3214	47808
63	3257	47648
64	3301	47489
65	3351	47423
66	3395	47279
67	3439	47147
68	3488	47069
69	3536	46988
70	3587	46935
71	3629	46780
72	3679	46722
73	3726	46633
74	3771	46516
75	3818	46422
76	3863	46307
77	3902	46129
78	3940	45937
79	3990	45893
80	4038	45822
81	4095	45851
82	4137	45707
83	4185	45638
84	4232	45565
85	4278	45475
86	4332	45469
87	4374	45334
88	4423	45278
89	4480	45302
90	4525	45206
91	4584	45243
92	4636	45215
93	4689	45196
94	4737	45126
95	4776	44974
96	4817	44846
97	4859	44728
98	4901	44612
99	4942	44482
100	4991	44431
101	5053	44490
102	5118	44573
103	5163	44482
104	5209	44404
105	5256	44329
106	5299	44226
107	5342	44124
108	5379	43969
109	5432	43951
110	5480	43896
111	5532	43865
112	5580	43806
113	5624	43713
114	5672	43653
115	5712	43533
116	5765	43510
117	5818	43491
118	5868	43447
119	5916	43389
120	5962	43311
121	6009	43248
122	6058	43196
123	6105	43132
124	6152	43067
125	6199	42999
126	6244	42925
127	6293	42876
128	6337	42793
129	6376	42673
130	6447	42770
131	6485	42650
132	6535	42604
133	6584	42556
134	6630	42483
135	6676	42414
136	6725	42366
137	6766	42264
138	6815	42214
139	6864	42169
140	6909	42095
141	6959	42050
142	7027	42116
143	7085	42119
144	7126	42022
145	7174	41963
146	7220	41900
147	7268	41843
148	7314	41776
149	7358	41697
150	7407	41648
151	7452	41576
152	7500	41521
153	7544	41443
154	7590	41378
155	7638	41326
156	7691	41301
157	7738	41241
158	7785	41182
159	7829	41107
160	7880	41065
