iter	Passed	Remaining
0	18	74856
1	50	101312
2	77	103554
3	105	105691
4	132	105975
5	156	104157
6	183	104447
7	207	103298
8	227	100897
9	252	100583
10	273	99284
11	288	95735
12	302	92692
13	315	89948
14	330	87752
15	346	86189
16	367	86146
17	382	84646
18	397	83284
19	411	81848
20	423	80203
21	437	79165
22	452	78199
23	466	77274
24	480	76414
25	494	75649
26	509	74929
27	524	74410
28	538	73804
29	554	73324
30	567	72659
31	580	72028
32	595	71547
33	609	71049
34	623	70588
35	638	70287
36	652	69881
37	666	69512
38	683	69370
39	704	69716
40	724	69994
41	739	69680
42	753	69369
43	768	69134
44	783	68826
45	803	69104
46	825	69400
47	879	72409
48	919	74151
49	946	74738
50	969	75042
51	992	75358
52	1022	76145
53	1052	76896
54	1081	77593
55	1098	77373
56	1113	77046
57	1140	77507
58	1166	77911
59	1192	78313
60	1203	77720
61	1219	77488
62	1233	77094
63	1249	76870
64	1264	76549
65	1278	76221
66	1290	75756
67	1304	75433
68	1319	75160
69	1334	74908
70	1352	74829
71	1369	74702
72	1383	74414
73	1398	74173
74	1412	73925
75	1427	73684
76	1443	73563
77	1460	73461
78	1476	73274
79	1490	73030
80	1504	72793
81	1519	72622
82	1531	72297
83	1545	72051
84	1559	71847
85	1574	71654
86	1588	71443
87	1603	71262
88	1617	71077
89	1631	70896
90	1646	70723
91	1660	70522
92	1674	70362
93	1689	70188
94	1703	70011
95	1717	69856
96	1732	69724
97	1747	69564
98	1761	69407
99	1775	69241
100	1791	69158
101	1806	69022
102	1820	68896
103	1836	68814
104	1856	68859
105	1870	68715
106	1884	68559
107	1900	68474
108	1914	68338
109	1927	68176
110	1941	68028
111	1956	67919
112	1970	67781
113	1985	67678
114	1998	67512
115	2012	67389
116	2026	67244
117	2040	67132
118	2053	66964
119	2067	66838
120	2081	66743
121	2097	66661
122	2112	66589
123	2128	66536
124	2145	66498
125	2160	66428
126	2174	66321
127	2188	66197
128	2211	66354
129	2234	66532
130	2256	66657
131	2278	66780
132	2303	66971
133	2328	67181
134	2356	67464
135	2377	67555
136	2401	67706
137	2420	67735
