iter	Logloss	Accuracy
0	0.4538627991	0.7728655808
1	0.4203575124	0.7794097906
2	0.4049184505	0.7881801503
3	0.3965618708	0.7902385001
4	0.3925193187	0.7950375873
5	0.3881773403	0.7995122606
6	0.3829991033	0.8028682656
7	0.3801232195	0.803774387
8	0.376137195	0.8056873098
9	0.373823281	0.8092446751
10	0.3693847382	0.8103745302
11	0.3680962819	0.8111799714
12	0.3666811887	0.8124440666
13	0.3645521925	0.8125335601
14	0.3640259241	0.812746107
15	0.3623772922	0.8141108824
16	0.361192909	0.8144241095
17	0.3605431229	0.8157888849
18	0.3598154206	0.816068552
19	0.3583327083	0.816281099
20	0.3573993662	0.8175228208
21	0.3566707847	0.8183394487
22	0.3559704774	0.8192343834
23	0.3535047686	0.820341865
24	0.3518221667	0.8211361196
25	0.3507013568	0.8219191874
26	0.3499188782	0.8224673349
27	0.3498296313	0.8224785216
28	0.3488413182	0.8230042957
29	0.3477799733	0.8238209236
30	0.3475089271	0.8235636299
31	0.3469522035	0.8241900841
32	0.3467174234	0.8245928047
33	0.3462243753	0.8250402721
34	0.3451781637	0.8252975658
35	0.3435971984	0.8262931806
36	0.3430000939	0.8268525148
37	0.3422667028	0.8273335422
38	0.3418528118	0.8277362628
39	0.3413841583	0.8278369429
40	0.3407956372	0.828362717
41	0.3402845019	0.8284522105
42	0.3396889151	0.8287542509
43	0.3394354202	0.8296603723
44	0.3386521869	0.8301861464
45	0.3381964689	0.8300966529
46	0.3378451776	0.8303539467
47	0.3375353109	0.830555307
48	0.3370998131	0.8306895472
49	0.3367613362	0.8308573474
50	0.3363437756	0.8311817612
51	0.3362035048	0.8315285484
52	0.3358894645	0.8317299087
53	0.3356553817	0.8321661894
54	0.335427549	0.8320431359
55	0.3354271435	0.8320431359
56	0.3350540465	0.8321326293
57	0.3347844473	0.8324346698
58	0.334351693	0.8326695901
59	0.3338775953	0.8328373904
60	0.3336380668	0.8334302846
61	0.3333300403	0.833732325
62	0.3330820061	0.8341909791
63	0.3327169034	0.8345936997
64	0.3321897238	0.8347503132
65	0.3316668241	0.8348621801
66	0.3312919694	0.8346720064
67	0.3312845192	0.8345601396
68	0.3310524567	0.8345153929
69	0.3309634347	0.8344818328
70	0.3305565251	0.8349740469
71	0.3303392473	0.8349404868
72	0.3301166043	0.8351082871
73	0.3299081955	0.8353879542
74	0.3295092244	0.8353208341
75	0.3294177556	0.8354438876
76	0.3292767541	0.8355445677
77	0.3290338579	0.8353320208
78	0.3288186846	0.8354103275
79	0.3283532005	0.836137462
80	0.3282914125	0.836171022
81	0.3280671466	0.836417129
82	0.3273635972	0.8366520494
83	0.3268740832	0.8371890102
84	0.3266238197	0.837267317
85	0.3262821486	0.8373232504
86	0.3262713546	0.8372785037
87	0.3259211297	0.8375805441
88	0.3258721065	0.8375246107
89	0.3254139966	0.837513424
90	0.3253374815	0.8376588509
91	0.325112453	0.8373344371
92	0.3246674723	0.8375917308
93	0.3242405975	0.8377483444
94	0.3239009329	0.8378490245
95	0.3236579508	0.8379161446
96	0.3234850036	0.8382069984
97	0.3234277854	0.8381063182
98	0.3232241051	0.8381398783
99	0.3230612686	0.8384754788
100	0.3226425804	0.8387998926
101	0.3224102353	0.8389565062
102	0.3219696662	0.83931448
103	0.3217436522	0.8395046537
104	0.3216111236	0.8395046537
105	0.3214438681	0.8395605871
106	0.3213391796	0.8396612672
107	0.3210738195	0.8400751745
108	0.3208661425	0.8402429748
109	0.3208116051	0.8406345087
110	0.3203611234	0.8406456954
111	0.3201865113	0.840869429
112	0.3200041173	0.8410707893
113	0.3198867722	0.8411043494
114	0.3197784369	0.8411602828
115	0.3192413228	0.84154063
116	0.3189042681	0.8416413102
117	0.3186500563	0.8417643637
118	0.3184060977	0.8424579381
119	0.318375099	0.8425138715
120	0.3182214802	0.8424355647
121	0.3179019965	0.8427599785
122	0.3175852704	0.8430172722
123	0.3174239732	0.8430843923
124	0.3171062342	0.8429725255
125	0.316878319	0.8430508323
126	0.3166772281	0.8431515124
127	0.316506838	0.8432969393
128	0.316195195	0.8437779667
129	0.3159562601	0.8443037408
130	0.3159233588	0.8442925541
131	0.3156447462	0.8443820476
132	0.3153414506	0.8445610345
133	0.3152653225	0.8445274745
134	0.3150083136	0.8444156077
135	0.3146466796	0.8447176481
136	0.3142384881	0.8449749418
137	0.3141705667	0.8450085019
138	0.3138404384	0.8452657956
139	0.3135664902	0.8452322355
140	0.3133287985	0.8453329157
141	0.3131953213	0.8453329157
142	0.3129289896	0.8455454627
143	0.3127482069	0.8457020762
144	0.3127031342	0.8459705566
145	0.3126148137	0.8460376767
146	0.3123997973	0.8462166637
147	0.3123626955	0.8460376767
148	0.3123562783	0.8460376767
149	0.3121675996	0.8460824235
150	0.3119203344	0.8461831036
151	0.3118707337	0.8461159835
152	0.3116191033	0.8463285305
153	0.3114371531	0.8463956506
154	0.3113017921	0.8463620906
155	0.3112189928	0.8461271702
156	0.3109679494	0.8466529443
157	0.3109266295	0.8467088778
158	0.3107469898	0.8468654913
159	0.3104787345	0.8469885448
160	0.3104185973	0.8469885448
161	0.3101903406	0.8469997315
162	0.3100376867	0.8472458386
163	0.3098838633	0.8471004117
164	0.3098488846	0.847122785
165	0.3095660983	0.8478051727
166	0.3094289005	0.8477492393
167	0.3092136282	0.8477827994
168	0.3088781536	0.8479841597
169	0.3086707002	0.8480177197
170	0.3085233672	0.8480289064
171	0.3084173036	0.8481183999
172	0.3083261416	0.8481183999
